epoch,ade,fde,best_ade,train_loss,train_risk_score,compw_entropy_snapshot,risk_global_scale,risk_weight,compw_risk_min_dist,compw_risk_ttc,compw_risk_pet,compw_risk_overlap,compw_entropy,compw_max,risk_score,risk_scaled,summary_loss,compw_risk_min_dist_norm,compw_risk_ttc_norm,compw_risk_pet_norm,compw_risk_overlap_norm
1,,,,341.0847,1.3131,1.3348,536.2085571289062,0.005,0.3665275573730469,0.1415445208549499,0.2484164237976074,0.2435115426778793,1.334559202194214,0.3665275573730469,1.0046387849934395,498.6197239518168,,0.36652754098798895,0.141544514527417,0.24841641269252837,0.24351153179206556
2,,,,142.547,0.045,1.3345,173.17703247070312,0.01,0.3682901561260223,0.142225444316864,0.2496102899312973,0.2398740947246551,1.334148645401001,0.3682901561260223,-0.1026373577257618,-20.588472014665605,,0.3682901616139733,0.1422254464361883,0.24961029365078052,0.2398740982990577
3,,,,62.8537,-0.3794,1.3341,60.02853012084961,0.015,0.3700042963027954,0.142892375588417,0.2507758140563965,0.2363274544477462,1.3336819410324097,0.3700042963027954,-0.4477149653062225,-38.78683455348017,,0.3700043183567714,0.1428923841054668,0.25077582900380074,0.23632746853396103
4,,,,16.5553,-0.4429,1.3336,21.154226303100582,0.02,0.3716877698898315,0.1435475200414657,0.2519190609455108,0.2328456938266754,1.333155870437622,0.3716877698898315,-0.3945707425719593,-12.883752984777091,,0.3716877532740942,0.1435475136243918,0.25191904968385176,0.23284568341766226
5,,,,11.2371,-0.1969,1.3331,8.858896255493164,0.025,0.3733487725257873,0.1441946625709533,0.2530480325222015,0.2294085770845413,1.3325705528259275,0.3733487725257873,-0.1884483521711081,-2.4803415448963637,,0.3733487558357974,0.14419465612494992,0.25304802121007347,0.22940856682917923
6,,,,8.5013,-0.1545,1.3325,4.30745267868042,0.03,0.374985933303833,0.1448333263397216,0.254161536693573,0.2260192632675171,1.3319287300109863,0.374985933303833,-0.1352307999238837,-0.7830236684903502,,0.374985910952931,0.14483331770698316,0.2541615215443658,0.22601924979572
7,,,,6.0181,-0.2252,1.3318,2.3924760818481445,0.035,0.3765945732593536,0.1454619467258453,0.2552563846111297,0.22268708050251,1.3312342166900637,0.3765945732593536,-0.1447075325995683,-0.4849927330017092,,0.37659457887105025,0.1454619488933973,0.2552563884147464,0.22268708382080618
8,,,,5.228,-0.102,1.3311,1.5357084274291992,0.04,0.3781811594963074,0.1460830271244049,0.2563373744487762,0.2193983942270279,1.3304866552352903,0.3781811594963074,-0.0560517544625327,-0.1082538703083992,,0.3781811764023234,0.14608303365482542,0.2563373859079503,0.21939840403490085
9,,,,4.9122,-0.0849,1.3304,1.185382843017578,0.045,0.3797452449798584,0.1466961354017257,0.2574036717414856,0.2161549478769302,1.3296880722045898,0.3797452449798584,-0.0899798670783638,-0.1114902161713689,,0.3797452449798584,0.1466961354017257,0.2574036717414856,0.2161549478769302
10,,,,5.9536,-0.0301,1.3295,1.0309101343154907,0.05,0.3812829554080963,0.1473002135753631,0.2584534287452698,0.2129633426666259,1.3288427591323853,0.3812829554080963,-0.0310296130995266,-0.0331031695660203,5.0775,0.3812829781343328,0.14730022235514054,0.25845344415029553,0.21296335536023106
