epoch,risk_global_scale,risk_weight,risk_autoscale_target_frac,risk_autoscale_ema_base,risk_autoscale_ema_raw_score,compw_risk_min_dist,compw_risk_ttc,compw_risk_pet,compw_risk_overlap,risk_L_band,map_bce_loss,risk_score_raw,risk_score,risk_scaled,compw_entropy_lambda,compw_entropy,compw_max,high_risk_q90,epoch_tokens,epoch_tokens_per_sec
1,536.2085571289062,0.005,0.01,278.7977294921875,1.0792816877365112,0.3665275573730469,0.14154452085494995,0.24841642379760742,0.24351154267787933,0.4794638729095459,13.776522912979125,1.0794638967514043,1.0046387849934397,498.61972395181675,0.01,1.3345592021942139,0.3665275573730469,1.0949211120605469,320000,15039.753210302662
2,173.17703247070312,0.01,0.01,175.836669921875,1.0665258169174194,0.36829015612602234,0.142225444316864,0.2496102899312973,0.23987409472465515,0.4617165863513947,13.785281200408939,1.061716610193253,-0.10263735772576182,-20.588472014665605,0.01,1.334148645401001,0.36829015612602234,1.0757653713226318,320000,14980.229601631205
3,60.02853012084961,0.015000000000000003,0.01,87.23506927490234,1.043076753616333,0.3700042963027954,0.14289237558841705,0.2507758140563965,0.23632745444774628,0.4318429160118103,13.787398090362549,1.031842939853668,-0.4477149653062225,-38.78683455348017,0.01,1.3336819410324097,0.3700042963027954,1.0480257272720337,320000,15081.189737916015
4,21.154226303100586,0.02,0.01,40.28703689575195,1.0194463729858398,0.37168776988983154,0.14354752004146576,0.25191906094551086,0.23284569382667542,0.40771786630153656,13.793578004837036,1.0077178901433943,-0.3945707425719593,-12.883752984777093,0.01,1.333155870437622,0.37168776988983154,1.024357557296753,320000,15204.622945193023
5,8.858896255493164,0.025,0.01,21.05222511291504,1.0011036396026611,0.37334877252578735,0.14419466257095337,0.25304803252220154,0.22940857708454132,0.39192227005958563,13.789871912002564,0.9919222939014435,-0.1884483521711081,-2.4803415448963633,0.01,1.3325705528259277,0.37334877252578735,1.0077918767929077,320000,15116.968992580452
6,4.30745267868042,0.030000000000000006,0.01,12.186935424804688,0.9838034510612488,0.374985933303833,0.14483332633972168,0.254161536693573,0.2260192632675171,0.37587233722209923,13.77965050697327,0.9758723610639572,-0.1352307999238837,-0.7830236684903502,0.01,1.3319287300109863,0.374985933303833,0.9941661357879639,320000,14832.324649299704
7,2.3924760818481445,0.035,0.01,7.830646514892578,0.9663983583450317,0.37659457325935364,0.14546194672584534,0.25525638461112976,0.22268708050251007,0.35716677963733673,13.781986627578735,0.9571668034791947,-0.14470753259956837,-0.48499273300170925,0.01,1.3312342166900635,0.37659457325935364,0.9691728353500366,320000,15019.257527411253
8,1.5357084274291992,0.04,0.01,5.707346439361572,0.9503962993621826,0.3781811594963074,0.1460830271244049,0.25633737444877625,0.2193983942270279,0.3426529574394226,13.776651830673218,0.9426529812812805,-0.0560517544625327,-0.10825387030839924,0.01,1.3304866552352905,0.3781811594963074,0.9549399614334106,320000,14998.0577175303
9,1.1853828430175781,0.045,0.01,5.02564001083374,0.9355013966560364,0.3797452449798584,0.14669613540172577,0.2574036717414856,0.21615494787693024,0.3287293589115143,13.790610666275024,0.9287293827533722,-0.08997986707836389,-0.11149021617136899,0.01,1.3296880722045898,0.3797452449798584,0.9436885714530945,320000,14847.227496052896
10,1.0309101343154907,0.05,0.01,4.651651859283447,0.9204450249671936,0.3812829554080963,0.14730021357536316,0.2584534287452698,0.21296334266662598,0.31290122568607315,13.784861516952514,0.9129012495279312,-0.031029613099526607,-0.03310316956602037,0.01,1.3288427591323853,0.3812829554080963,0.9283118844032288,320000,14934.02885115841
11,0.8284047842025757,0.05500000000000001,0.01,4.133785247802734,0.905751645565033,0.38279861211776733,0.14789676666259766,0.259488970041275,0.20981565117835999,0.2985062474012375,13.7789137840271,0.8985062712430953,-0.038822337836027135,-0.03412064190953971,0.01,1.327950358390808,0.38279861211776733,0.9132835865020752,320000,14861.530532801642
12,0.7032570242881775,0.06000000000000001,0.01,3.715839385986328,0.8927329778671265,0.38429397344589233,0.1484862118959427,0.2605113089084625,0.20670846104621887,0.2867935091257096,13.785158405303955,0.8867935329675675,-0.03967491979943588,-0.03064807999646292,0.01,1.3270113468170166,0.38429397344589233,0.9007291793823242,320000,14895.420547278689
13,0.6330233216285706,0.065,0.01,3.6163392066955566,0.8792081475257874,0.3857654929161072,0.14906743168830872,0.261518269777298,0.20364883542060852,0.2722908639907835,13.792892265319825,0.8722908878326416,-0.024500061543658375,-0.016454822190571566,0.01,1.3260300159454346,0.3857654929161072,0.8848577737808228,320000,14891.3464723343
14,0.6185153722763062,0.07,0.01,3.8013579845428467,0.8647230267524719,0.3872125446796417,0.14964042603969574,0.262509822845459,0.20063719153404236,0.2575220853090287,13.78100414276123,0.8575221091508866,-0.016638150699436666,-0.010154805723577737,0.01,1.3250086307525635,0.3872125446796417,0.8707717657089233,320000,14108.691257558414
15,0.5311457514762878,0.075,0.01,3.345628261566162,0.8508652448654175,0.38863664865493774,0.15020564198493958,0.26348698139190674,0.19767074286937714,0.24405326664447785,13.78801399230957,0.8440532904863357,-0.03159585708519444,-0.016622640995774415,0.01,1.3239481449127197,0.38863664865493774,0.8585242033004761,320000,14445.918348182124
